time,current,voltage,power
1.0,-0.032567,3.534131,-0.11509604427699999
2.0,0.722232,3.610477,2.6076020246639997
3.0,0.581536,3.597263,2.091937935968
4.0,0.583296,3.597409,2.098354280064
5.0,0.578018,3.59754,2.0794428757200003
6.0,0.578256,3.597784,2.080440184704
7.0,0.583265,3.597891,2.0985238941150004
8.0,0.581639,3.598134,2.092815061626
9.0,0.580315,3.598241,2.088113225915
10.0,0.58021,3.598343,2.08779459203
11.0,0.581649,3.598571,2.093105223579
12.0,0.582841,3.598542,2.097377817822
13.0,0.578087,3.598683,2.080351859421
14.0,0.582864,3.598749,2.097581237136
15.0,0.581045,3.598936,2.0911437681200002
16.0,0.580505,3.599077,2.089282193885
17.0,0.58066,3.599145,2.0898795356999997
18.0,0.582654,3.599186,2.097080119644
19.0,0.58058,3.599376,2.08972571808
20.0,0.580202,3.599396,2.088376757992
21.0,0.579497,3.599526,2.0859145184220003
22.0,0.5804,3.599529,2.0891666316
23.0,0.58096,3.599702,2.09128287392
24.0,0.581905,3.599762,2.09471950661
25.0,0.580907,3.599847,2.0911763212289998
26.0,0.580945,3.599914,2.09135203873
27.0,0.580638,3.599978,2.090284025964
28.0,0.582412,3.600062,2.096719309544
29.0,0.580167,3.600107,2.0886632778689997
30.0,0.579793,3.600228,2.087386992804
31.0,0.584756,3.600403,2.1053572566680003
32.0,0.578477,3.600335,2.082710989795
33.0,0.580326,3.600375,2.08939122225
34.0,0.579759,3.600601,2.0874808351590004
35.0,0.580185,3.600496,2.08895377176
36.0,0.580387,3.600579,2.089729244073
37.0,0.574795,3.600442,2.0695160593899997
38.0,0.579334,3.600554,2.085923351036
39.0,0.575937,3.600611,2.073725097507
40.0,0.578437,3.600662,2.082756125294
41.0,0.575683,3.600684,2.0728525671719997
42.0,0.577352,3.600688,2.078864418176
43.0,0.580951,3.600739,2.091852922789
44.0,0.577619,3.60089,2.0799424809100002
45.0,0.57495,3.600817,2.07028973415
46.0,0.577153,3.6009,2.0782702377000004
47.0,0.575612,3.600868,2.072702831216
48.0,0.572955,3.600848,2.06312386584
49.0,0.573466,3.600697,2.064877305802
50.0,0.573334,3.60094,2.06454133396
51.0,0.572084,3.60089,2.0600115547600004
52.0,0.571799,3.600853,2.0589641445469997
53.0,0.573067,3.600939,2.063579309913
54.0,0.575258,3.600926,2.071461488908
55.0,0.571631,3.600767,2.058310040977
56.0,0.568553,3.600901,2.047303066253
57.0,0.570499,3.600923,2.0543229705769996
58.0,0.567939,3.6009,2.0450915451
59.0,0.567837,3.60089,2.04471857493
60.0,0.569767,3.600996,2.051728687932
61.0,0.564425,3.600857,2.032413712225
62.0,0.569398,3.60082,2.05029970636
63.0,0.566411,3.600748,2.039503275428
64.0,0.568801,3.600848,2.048165943248
65.0,0.566124,3.600912,2.0385627050879997
66.0,0.511737,3.595497,1.839948848289
67.0,0.508188,3.595273,1.827074595324
68.0,0.508374,3.595273,1.827743316102
69.0,0.510625,3.595325,1.835862828125
70.0,0.509888,3.595198,1.833148317824
71.0,0.507155,3.595101,1.823273447655
72.0,0.507705,3.594996,1.8251974441799999
73.0,0.505741,3.594825,1.818050390325
74.0,0.505087,3.595084,1.8158301923079998
75.0,0.504693,3.59481,1.8142754433299997
76.0,0.501151,3.594753,1.801514060703
77.0,0.501891,3.594663,1.804129007733
78.0,0.497982,3.594713,1.7901023691659999
79.0,0.496034,3.594702,1.7830944118679999
80.0,0.50003,3.594462,1.79733883386
81.0,0.502975,3.594481,1.8079340809749997
82.0,0.496553,3.594494,1.784856779182
83.0,0.5008,3.594393,1.8000720144000002
84.0,0.496178,3.59428,1.78340266184
85.0,0.496137,3.594256,1.783243389072
86.0,0.495276,3.594334,1.780187366184
87.0,0.493031,3.594114,1.7720096195339998
88.0,0.494156,3.594037,1.776014947772
89.0,0.489432,3.594038,1.7590372064159998
90.0,0.491147,3.593861,1.765114048567
91.0,0.489672,3.593851,1.759808206872
