time,vbus,vbat,ibus,iload,ibat
1.566667,4.828428,4.01653,0.550268,0.177128,0.422928
1.583333,4.833037,4.016384,0.547937,0.177031,0.427156
1.6,4.833177,4.022077,0.549346,0.138745,0.47027
1.616667,4.832499,4.022439,0.551326,0.135195,0.472058
1.633333,4.828825,4.022474,0.549168,0.13407,0.469326
1.65,4.831631,4.022244,0.547598,0.133677,0.467513
1.666667,4.832525,4.022248,0.547123,0.137629,0.469107
1.683333,4.832707,4.022054,0.545002,0.135911,0.46396
1.7,4.832999,4.021846,0.545645,0.135115,0.466147
1.716667,4.830955,4.021801,0.542368,0.13449,0.463723
1.733333,4.831781,4.021637,0.539654,0.134007,0.462639
1.75,4.832498,4.021506,0.542005,0.132989,0.460262
1.766667,4.833757,4.021513,0.541999,0.137599,0.460766
1.783333,4.831553,4.021279,0.539295,0.136825,0.462366
1.8,4.8308,4.021138,0.536143,0.134048,0.457651
1.816667,4.83114,4.021212,0.536992,0.132388,0.457183
1.833333,4.830237,4.020927,0.536371,0.136242,0.452147
1.85,4.833987,4.020824,0.538156,0.135112,0.456272
1.866667,4.831945,4.020617,0.533541,0.134173,0.454247
1.883333,4.829292,4.020485,0.53253,0.13255,0.452932
1.9,4.82882,4.020465,0.530508,0.134047,0.450299
1.916667,4.830489,4.020089,0.530519,0.136557,0.449166
1.933333,4.832091,4.020177,0.529554,0.13857,0.448854
1.95,4.833212,4.019989,0.52966,0.13304,0.445449
1.966667,4.831941,4.019851,0.526407,0.13473,0.445088
1.983333,4.831607,4.01963,0.528089,0.135243,0.443111
2,4.82885,4.019547,0.529053,0.13642,0.442439
2.016667,4.831982,4.019278,0.525561,0.137012,0.442203
2.033333,4.831464,4.019077,0.523941,0.136011,0.441707
2.05,4.830004,4.019042,0.521946,0.133943,0.437116
2.066667,4.831717,4.018824,0.522735,0.135042,0.437672
2.083333,4.827806,4.01876,0.518674,0.133621,0.437447
2.1,4.83186,4.018455,0.519129,0.138034,0.435338
2.116667,4.833271,4.018288,0.516893,0.135168,0.432223
2.133333,4.834838,4.018006,0.518884,0.136475,0.432678
2.15,4.832052,4.01779,0.512525,0.138119,0.428289
2.166667,4.830838,4.017666,0.515478,0.135851,0.426834
2.183333,4.831047,4.017633,0.513322,0.134476,0.431925
2.2,4.833813,4.017343,0.508547,0.136913,0.423122
2.216667,4.832079,4.017098,0.510326,0.135473,0.422837
2.233333,4.827345,4.017066,0.509659,0.133136,0.42549
2.25,4.828143,4.016767,0.506,0.133935,0.421353
2.266667,4.833747,4.016553,0.507069,0.137059,0.422295
2.283333,4.832608,4.0163,0.502983,0.13443,0.416847
2.3,4.83238,4.016181,0.50084,0.135449,0.416771
2.316667,4.830034,4.01591,0.498428,0.132964,0.413952
2.333333,4.83166,4.015817,0.498344,0.134999,0.412571
2.35,4.832958,4.015481,0.497559,0.132784,0.410951
2.366667,4.832252,4.015394,0.497368,0.133501,0.411696
2.383333,4.83343,4.015196,0.49558,0.135413,0.408983
2.4,4.830688,4.014947,0.493014,0.133924,0.407015
2.416667,4.830055,4.014668,0.491323,0.131419,0.405447
2.433333,4.832347,4.014448,0.490089,0.135925,0.402745
2.45,4.834515,4.014264,0.49016,0.134327,0.400558
2.466667,4.83256,4.014094,0.488793,0.135117,0.399043
2.483333,4.828736,4.013929,0.488632,0.135245,0.3972
2.5,4.830045,4.013727,0.48587,0.133857,0.397052
2.516667,4.832908,4.013373,0.484433,0.13442,0.393683
2.533333,4.831941,4.013101,0.485601,0.134513,0.392845
2.55,4.834452,4.012782,0.479898,0.136258,0.390023
2.566667,4.832698,4.012614,0.478013,0.135117,0.388417
2.583333,4.831039,4.012423,0.476374,0.132243,0.384701
2.6,4.830937,4.012175,0.476952,0.132195,0.385603
2.616667,4.833387,4.011852,0.472678,0.136442,0.387618
2.633333,4.834031,4.011684,0.473978,0.13629,0.380912
2.65,4.831807,4.011487,0.470592,0.135781,0.378815
2.666667,4.831584,4.011219,0.468867,0.136424,0.377265
2.683333,4.833343,4.004805,0.468394,0.175158,0.328983
2.7,4.832441,4.004288,0.46824,0.173563,0.325454
2.716667,4.832182,4.004153,0.46496,0.175916,0.324925
2.733333,4.827752,4.003809,0.462243,0.174679,0.3203
2.75,4.829883,4.003614,0.462634,0.177109,0.317453
2.766667,4.831585,4.003348,0.459774,0.174659,0.315765
2.783333,4.833365,4.002953,0.45882,0.173395,0.317265
2.8,4.833464,4.002718,0.457886,0.177185,0.314352
2.816667,4.832204,4.002283,0.453461,0.1732,0.310607
2.833333,4.832723,4.002162,0.453141,0.174547,0.309953
2.85,4.83172,4.001947,0.45074,0.174141,0.308208
2.866667,4.831892,4.001653,0.449578,0.173517,0.304739
2.883333,4.833767,4.001228,0.448718,0.176782,0.304932
2.9,4.83044,4.0011,0.447263,0.175436,0.3032
2.916667,4.828953,4.000816,0.444609,0.175628,0.298263
2.933333,4.831552,4.000446,0.441923,0.175501,0.296297
2.95,4.831722,4.000136,0.441084,0.176548,0.292173
2.966667,4.832505,3.999816,0.43842,0.175929,0.292921
2.983333,4.828136,3.999672,0.438455,0.177366,0.292946
3,4.829257,3.999259,0.43655,0.174203,0.290089
3.016667,4.832061,3.998983,0.435767,0.174769,0.28558
3.033333,4.834474,3.99868,0.43119,0.176485,0.285353
3.05,4.833788,3.998172,0.428863,0.174645,0.280987
3.066667,4.832812,3.998079,0.428706,0.172965,0.282047
3.083333,4.829166,3.997857,0.425715,0.175357,0.277228
3.1,4.827287,3.997453,0.426296,0.174096,0.278981
3.116667,4.833294,3.997163,0.423145,0.176126,0.276711
3.133333,4.834059,3.99685,0.421087,0.175985,0.274457
3.15,4.83226,3.99642,0.42193,0.176075,0.27223
3.166667,4.831077,3.996286,0.420021,0.172032,0.269232
3.183333,4.831475,4.002234,0.414626,0.135771,0.313533
3.2,4.832316,4.002013,0.417812,0.137034,0.312975
3.216667,4.83489,4.001624,0.411137,0.134227,0.309759
3.233333,4.834095,4.001432,0.411092,0.136831,0.308594
3.25,4.83001,4.001177,0.410766,0.1323,0.307445
3.266667,4.832254,4.000747,0.406673,0.135994,0.303414
3.283333,4.833263,4.000545,0.406152,0.135922,0.302577
3.3,4.833731,4.000248,0.404808,0.134869,0.300046
3.316667,4.830709,3.999953,0.402361,0.135688,0.298487
3.333333,4.831777,3.999642,0.399277,0.135176,0.294775
3.35,4.828071,3.99934,0.399683,0.133019,0.289348
3.366667,4.829057,3.998967,0.396139,0.134804,0.289082
3.383333,4.834348,3.998693,0.394037,0.136572,0.286829
3.4,4.832862,3.998448,0.393009,0.135934,0.28746
3.416667,4.833283,3.998111,0.391064,0.135625,0.284337
3.433333,4.827532,3.99774,0.387929,0.132702,0.284493
3.45,4.831991,3.997419,0.386764,0.135694,0.280176
3.466667,4.83355,3.997085,0.383907,0.138098,0.275642
3.483333,4.833484,3.996723,0.382296,0.13762,0.274005
3.5,4.831568,3.996464,0.378928,0.135025,0.272397
3.516667,4.830834,3.996148,0.377478,0.134426,0.269499
3.533333,4.831721,3.995801,0.377512,0.137186,0.265715
3.55,4.835323,3.995469,0.37149,0.133868,0.264797
3.566667,4.831976,3.995122,0.369246,0.137314,0.263039
3.583333,4.831325,3.994884,0.37095,0.133736,0.260484
3.6,4.832415,3.994447,0.366967,0.136876,0.256078
3.616667,4.82921,3.994085,0.367917,0.133281,0.254331
3.633333,4.832073,3.993787,0.36278,0.135406,0.251977
3.65,4.832194,3.993393,0.362216,0.136358,0.249775
3.666667,4.828858,3.993078,0.361231,0.134883,0.246115
3.683333,4.82849,3.99272,0.357208,0.134855,0.2447
3.7,4.830815,3.992395,0.35709,0.133492,0.242433
3.716667,4.833117,3.992032,0.354235,0.134849,0.239791
3.733333,4.830865,3.991638,0.35202,0.136798,0.236809
3.75,4.830086,3.991289,0.350405,0.134564,0.234863
3.766667,4.830681,3.990895,0.346617,0.132218,0.229672
3.783333,4.831469,3.990555,0.346637,0.133666,0.229513
3.8,4.832227,3.990336,0.345242,0.135765,0.228148
3.816667,4.832155,3.989842,0.341279,0.133727,0.223931
3.833333,4.83163,3.989525,0.337362,0.13205,0.224715
3.85,4.829974,3.989106,0.336445,0.132501,0.219392
3.866667,4.830385,3.988781,0.336928,0.135457,0.217913
3.883333,4.830464,3.988446,0.33234,0.133714,0.213916
3.9,4.831408,3.988082,0.328432,0.133942,0.212483
3.916667,4.832902,3.987648,0.329781,0.13287,0.207314
3.933333,4.829178,3.987319,0.326359,0.132503,0.20589
3.95,4.830167,3.986912,0.325576,0.135583,0.203778
3.966667,4.83167,3.986588,0.320774,0.134848,0.200393
3.983333,4.829569,3.9862,0.319864,0.135693,0.198856
4,4.830613,3.985801,0.316213,0.137402,0.195514
4.016667,4.828626,3.985411,0.3142,0.135207,0.192888
4.033333,4.827514,3.985061,0.31136,0.13401,0.188734
4.05,4.833056,3.98467,0.311477,0.134597,0.185188
4.066667,4.832898,3.984329,0.30934,0.134554,0.185631
4.083333,4.831611,3.983912,0.30699,0.134859,0.181114
4.1,4.83063,3.983485,0.30474,0.13317,0.178766
4.116667,4.830316,3.983128,0.300806,0.132583,0.177149
4.133333,4.830814,3.982739,0.301241,0.135497,0.176676
4.15,4.830166,3.982403,0.295003,0.135247,0.170992
4.166667,4.830521,3.981996,0.294654,0.135439,0.168971
4.183333,4.828827,3.981591,0.294467,0.133556,0.164131
4.2,4.828049,3.981149,0.290491,0.135982,0.163541
4.216667,4.831336,3.980806,0.289741,0.136019,0.162309
4.233333,4.831894,3.980447,0.288325,0.135743,0.158701
4.25,4.837314,3.979969,0.283977,0.133539,0.15623
4.266667,4.830357,3.973245,0.281127,0.174427,0.101583
4.283333,4.831096,3.972752,0.279739,0.174828,0.097027
4.3,4.83499,3.972326,0.276471,0.17432,0.096541
4.316667,4.834228,3.971842,0.276012,0.175911,0.094164
4.333333,4.833514,3.971402,0.270516,0.176456,0.091678
4.35,4.832792,3.971003,0.270815,0.173757,0.087656
4.366667,4.832145,3.970635,0.269223,0.176031,0.086833
4.383333,4.831478,3.970242,0.26485,0.17426,0.082876
4.4,4.830595,3.96978,0.264555,0.17727,0.081923
4.416667,4.834187,3.969357,0.260853,0.17245,0.076628
4.433333,4.829244,3.968999,0.259537,0.173795,0.074254
4.45,4.828596,3.968613,0.257782,0.174758,0.070804
4.466667,4.832912,3.9681,0.254789,0.174843,0.067142
4.483333,4.838535,3.967625,0.251468,0.175887,0.06728
4.5,4.837708,3.967174,0.248441,0.176933,0.063445
4.516667,4.83483,3.96678,0.245165,0.177018,0.058791
4.533333,4.829465,3.966415,0.246008,0.174056,0.058911
4.55,4.83541,3.965878,0.243461,0.174995,0.055747
4.566667,4.83484,3.965548,0.240566,0.174964,0.053255
4.583333,4.834129,3.965161,0.238456,0.177505,0.049624
4.6,4.833217,3.96461,0.235173,0.175158,0.044707
4.616667,4.832548,3.964199,0.234184,0.1729,0.043246
4.633333,4.831928,3.963848,0.227554,0.174754,0.040254
4.65,4.83112,3.963407,0.228982,0.175497,0.036314
4.666667,4.833012,3.962957,0.228034,0.176243,0.034747
4.683333,4.829458,3.962489,0.224837,0.174717,0.031802
4.7,4.829885,3.962051,0.221889,0.174217,0.029547
4.716667,4.828666,3.961623,0.220156,0.176675,0.024269
4.733333,4.838744,3.961091,0.217023,0.177324,0.018848
4.75,4.838098,3.960712,0.215015,0.173629,0.021006
4.766667,4.83524,3.96652,0.211029,0.134981,0.062845
4.783333,4.836549,3.966372,0.212631,0.133273,0.062567
4.8,4.83605,3.966037,0.206083,0.133253,0.061421
4.816667,4.835194,3.965529,0.20652,0.135205,0.05809
4.833333,4.834538,3.965149,0.204433,0.132818,0.057305
4.85,4.833812,3.964787,0.202035,0.133957,0.053667
4.866667,4.832966,3.964329,0.197767,0.132439,0.047323
4.883333,4.832504,3.964003,0.196738,0.13362,0.048398
4.9,4.831637,3.963544,0.19429,0.134121,0.045451
4.916667,4.830853,3.963191,0.193516,0.133529,0.040322
4.933333,4.830131,3.962713,0.189037,0.136257,0.03612
4.95,4.829348,3.962272,0.185123,0.134579,0.031881
4.966667,4.830323,3.96188,0.184337,0.136207,0.032275
4.983333,4.839332,3.96129,0.183034,0.136071,0.030104
5,4.83868,3.960888,0.180825,0.137372,0.025319
5.016667,4.837928,3.96053,0.177152,0.133791,0.022575
5.033333,4.837117,3.960007,0.172962,0.134126,0.018821
5.05,4.836418,3.959676,0.170836,0.134658,0.015587
5.066667,4.835645,3.959192,0.167085,0.134758,0.014798
5.083333,4.834962,3.958801,0.16778,0.133235,0.011146
5.1,4.834123,3.958302,0.16407,0.137866,0.008845
5.116667,4.833496,3.958012,0.163687,0.133416,0.004577
5.133333,4.8327,3.957525,0.158381,0.133935,0.001514
5.15,4.834883,3.957075,0.157065,0.135223,0.001033
5.166667,4.837572,3.956605,0.15555,0.135476,-0.002241
5.183333,4.835964,3.956211,0.152597,0.134559,-0.008524
5.2,4.831973,3.955667,0.149346,0.135395,-0.010887
5.216667,4.828707,3.95529,0.14898,0.134432,-0.014486
5.233333,4.839142,3.95477,0.146971,0.137324,-0.016296
5.25,4.838539,3.954257,0.14302,0.137491,-0.018027
5.266667,4.837904,3.953891,0.140048,0.135134,-0.021852
5.283333,4.837179,3.95349,0.140774,0.133586,-0.02585
5.3,4.836374,3.953052,0.136761,0.136368,-0.028109
5.316667,4.83574,3.952661,0.134902,0.134639,-0.031461
5.333333,4.834841,3.952215,0.129674,0.136596,-0.035557
5.35,4.833939,3.951701,0.127983,0.134548,-0.037802
5.366667,4.833256,3.95127,0.124952,0.132455,-0.041583
5.383333,4.83239,3.950776,0.122604,0.135424,-0.041549
5.4,4.831735,3.950439,0.120187,0.135856,-0.04515
5.416667,4.831072,3.950045,0.118778,0.13528,-0.047604
5.433333,4.830376,3.949629,0.118027,0.135118,-0.050003
5.45,4.829437,3.94911,0.117125,0.136776,-0.05309
5.466667,4.828545,3.948632,0.112695,0.132936,-0.058715
5.483333,4.83819,3.948136,0.109545,0.13289,-0.059934
5.5,4.838402,3.947657,0.108483,0.136401,-0.065285
5.516667,4.837843,3.947351,0.104849,0.133314,-0.066835
5.533333,4.837105,3.946869,0.10464,0.134696,-0.069442
5.55,4.83628,3.946422,0.100283,0.133392,-0.073405
5.566667,4.835565,3.946094,0.097992,0.135108,-0.075376
5.583333,4.834953,3.945647,0.097224,0.133503,-0.076772
5.6,4.834055,3.945158,0.095633,0.13519,-0.080887
5.616667,4.833136,3.944646,0.088849,0.135059,-0.084757
5.633333,4.832258,3.944155,0.088797,0.132837,-0.088122
5.65,4.831551,3.943762,0.086332,0.135818,-0.090884
5.666667,4.83065,3.943284,0.08396,0.135069,-0.093025
5.683333,4.835251,3.942875,0.079124,0.137131,-0.097731
5.7,4.829275,3.942501,0.078376,0.134677,-0.097975
5.716667,4.831983,3.942117,0.076136,0.134948,-0.100985
5.733333,4.834556,3.941866,0.076889,0.135813,-0.10052
5.75,4.839807,3.941899,0.07567,0.138091,-0.102274
5.766667,4.839758,3.942008,0.073997,0.134157,-0.10311
5.783333,4.828463,3.941901,0.074965,0.135011,-0.102136
5.8,4.829378,3.941886,0.076742,0.131738,-0.100401
5.816667,4.834782,3.941844,0.079464,0.134436,-0.100459
5.833333,4.839946,3.941996,0.07739,0.137514,-0.096229
5.85,4.83656,3.935635,0.081831,0.172537,-0.149514
5.866667,4.828131,3.935607,0.076408,0.175175,-0.149062
5.883333,4.828185,3.935551,0.081959,0.176806,-0.142984
5.9,4.832006,3.935672,0.084233,0.17488,-0.145503
5.916667,4.831854,3.935701,0.080278,0.173373,-0.14589
5.933333,4.832929,3.935686,0.083889,0.176259,-0.144763
5.95,4.828771,3.935831,0.081964,0.17479,-0.145714
5.966667,4.829065,3.935963,0.085105,0.172854,-0.140952
5.983333,4.829005,3.935876,0.083185,0.175324,-0.142536
6,4.832062,3.935916,0.08639,0.176661,-0.143753
6.016667,4.830703,3.936066,0.088374,0.175599,-0.13981
6.033333,4.829562,3.936117,0.086562,0.174346,-0.14001
6.05,4.829763,3.936233,0.086314,0.174941,-0.138363
6.066667,4.829923,3.936299,0.088715,0.174719,-0.136991
6.083333,4.83028,3.936473,0.087598,0.176265,-0.136879
6.1,4.831043,3.936488,0.089386,0.175359,-0.137343
6.116667,4.833067,3.936549,0.089833,0.173855,-0.134919
6.133333,4.83069,3.936703,0.088335,0.176408,-0.135748
6.15,4.830892,3.93673,0.093692,0.176463,-0.13224
6.166667,4.831041,3.936838,0.094583,0.174962,-0.132402
6.183333,4.831185,3.936855,0.094387,0.174647,-0.13137
6.2,4.831536,3.937015,0.093059,0.173645,-0.131025
6.216667,4.831514,3.93697,0.095158,0.172345,-0.129243
6.233333,4.831877,3.937226,0.098248,0.176029,-0.125131
6.25,4.832213,3.937344,0.10118,0.175977,-0.124346
6.266667,4.83232,3.937374,0.100097,0.176663,-0.125206
6.283333,4.832572,3.93752,0.099807,0.175432,-0.12482
6.3,4.832873,3.937629,0.099078,0.176224,-0.123182
6.316667,4.832867,3.937639,0.10465,0.174808,-0.119803
6.333333,4.833265,3.937859,0.105996,0.175415,-0.118349
6.35,4.836425,3.944413,0.104378,0.135076,-0.066586
6.366667,4.834479,3.944586,0.104982,0.13655,-0.066549
6.383333,4.834793,3.94482,0.104702,0.132967,-0.06784
6.4,4.835068,3.944885,0.1045,0.133735,-0.063026
6.416667,4.83507,3.944942,0.105391,0.134075,-0.061705
6.433333,4.835404,3.945121,0.109453,0.137502,-0.063088
6.45,4.835845,3.945342,0.107022,0.134029,-0.062843
6.466667,4.836095,3.94545,0.109235,0.13483,-0.061661
6.483333,4.836192,3.945548,0.108274,0.13369,-0.060767
6.5,4.836646,3.945775,0.115112,0.135687,-0.060198
6.516667,4.836818,3.945891,0.111329,0.134751,-0.057554
6.533333,4.837021,3.945999,0.114036,0.134915,-0.057051
6.55,4.837339,3.946124,0.113072,0.13473,-0.05551
6.566667,4.837581,3.946237,0.115286,0.133389,-0.054114
6.583333,4.838135,3.946578,0.116493,0.133561,-0.051453
6.6,4.838368,3.946646,0.11904,0.135495,-0.051729
6.616667,4.838435,3.946681,0.118841,0.13262,-0.052343
6.633333,4.838883,3.946965,0.118581,0.135046,-0.050473
6.65,4.839134,3.947102,0.118092,0.134985,-0.046582
6.666667,4.839516,3.947295,0.121509,0.13793,-0.044322
6.683333,4.839683,3.947373,0.126229,0.135496,-0.042209
6.7,4.840042,3.947526,0.12398,0.134777,-0.04364
6.716667,4.840532,3.947816,0.126338,0.133844,-0.039679
6.733333,4.840666,3.94787,0.125324,0.13313,-0.039546
6.75,4.841031,3.948088,0.126845,0.132433,-0.035557
6.766667,4.841287,3.948237,0.129742,0.134023,-0.036063
6.783333,4.83789,3.948446,0.128279,0.134685,-0.03789
6.8,4.830514,3.948707,0.130351,0.136913,-0.0341
6.816667,4.830646,3.948735,0.131321,0.132926,-0.034727
6.833333,4.831237,3.948979,0.132052,0.133373,-0.031942
6.85,4.831449,3.949195,0.1328,0.135284,-0.03157
6.866667,4.831924,3.949318,0.135054,0.134073,-0.028074
6.883333,4.832071,3.949476,0.134915,0.135091,-0.027302
6.9,4.832419,3.949608,0.137355,0.132964,-0.028122
6.916667,4.832919,3.949865,0.137897,0.134955,-0.02185
6.933333,4.833103,3.950017,0.138842,0.133704,-0.023119
6.95,4.833672,3.950302,0.141034,0.134205,-0.021152
6.966667,4.833847,3.950449,0.146858,0.132509,-0.020843
6.983333,4.834253,3.950624,0.143883,0.134486,-0.01937
7,4.834695,3.950885,0.145071,0.135895,-0.018732
7.016667,4.834858,3.950982,0.146716,0.135505,-0.016802
7.033333,4.835349,3.951263,0.149136,0.133848,-0.014987
7.05,4.835593,3.951336,0.147839,0.135781,-0.013587
7.066667,4.836146,3.951638,0.149629,0.134642,-0.012718
7.083333,4.836342,3.951764,0.15225,0.136275,-0.010857
7.1,4.836593,3.951837,0.148855,0.135949,-0.006159
7.116667,4.837054,3.952126,0.152431,0.135449,-0.008285
7.133333,4.837462,3.952412,0.152713,0.134706,-0.003543
7.15,4.83771,3.95255,0.152789,0.133788,-0.004596
7.166667,4.838281,3.952815,0.158652,0.134334,-0.000772
7.183333,4.838561,3.952966,0.159127,0.13611,0.000331
7.2,4.838944,3.953228,0.157794,0.132971,0.000651
7.216667,4.836018,3.953434,0.161032,0.132458,0.002733
7.233333,4.8344,3.953667,0.161726,0.135139,0.004297
7.25,4.839578,3.953879,0.1637,0.135905,0.00716
7.266667,4.840349,3.953923,0.16276,0.136473,0.009142
7.283333,4.83511,3.954274,0.164691,0.13476,0.009218
7.3,4.829871,3.954464,0.165667,0.134523,0.01236
7.316667,4.83027,3.954687,0.167952,0.135097,0.014367
7.333333,4.830566,3.954927,0.167425,0.13429,0.016063
7.35,4.830935,3.955126,0.172841,0.134241,0.017159
7.366667,4.831532,3.955476,0.172195,0.136129,0.018805
7.383333,4.831781,3.955753,0.175428,0.132257,0.019286
