time,vbus,vbat,ibus,iloa,ibat
0.016667,4.81825,3.956836,0.302072,0.138647,0.15688
0.033333,4.81825,3.956836,0.302072,0.138647,0.15688
0.05,4.812773,3.982903,0.658367,0.223117,0.49802
0.066667,4.810611,3.983313,0.661707,0.222651,0.501486
0.083333,4.808557,3.983422,0.66238,0.222368,0.498766
0.1,4.813097,3.983287,0.652343,0.216667,0.492248
0.116667,4.812653,3.98321,0.647247,0.218831,0.487789
0.133333,4.812487,3.982811,0.641905,0.2202,0.480002
0.15,4.810886,3.982311,0.635095,0.217863,0.472381
0.166667,4.810932,3.981541,0.625386,0.221334,0.458085
0.183333,4.812984,3.980779,0.614823,0.2243,0.447165
0.2,4.81362,3.980064,0.603101,0.219309,0.431685
0.216667,4.81476,3.979179,0.588636,0.220248,0.419228
0.233333,4.810589,3.978218,0.580825,0.221905,0.405041
0.25,4.811819,3.976967,0.566684,0.221324,0.389829
0.266667,4.811588,3.975902,0.547019,0.218898,0.370952
0.283333,4.812768,3.974581,0.533809,0.214146,0.351827
0.3,4.814984,3.973386,0.517214,0.21657,0.33328
0.316667,4.812217,3.973516,0.523545,0.217078,0.339091
0.333333,4.809796,3.97512,0.543113,0.221396,0.3598
0.35,4.810945,3.976556,0.556842,0.223563,0.374463
0.366667,4.811275,3.978128,0.57467,0.218615,0.396556
0.383333,4.81437,3.979397,0.588247,0.22101,0.413407
0.4,4.81174,3.980639,0.601636,0.225213,0.43121
0.416667,4.81109,3.981883,0.615148,0.223439,0.446674
0.433333,4.811568,3.983201,0.632874,0.222822,0.46205
0.45,4.813689,3.983977,0.63759,0.222129,0.46618
0.466667,4.81256,3.985019,0.645957,0.22153,0.47961
0.483333,4.810893,3.985694,0.654978,0.22705,0.491
0.5,4.81063,3.986493,0.665556,0.225119,0.500538
0.516667,4.81261,3.987272,0.669737,0.223205,0.509499
0.533333,4.81423,3.987923,0.672331,0.219566,0.511847
0.55,4.812974,3.988423,0.675646,0.222238,0.517645
0.566667,4.810165,3.988726,0.686119,0.227409,0.522576
0.583333,4.808842,3.989101,0.688725,0.225814,0.526858
0.6,4.8122,3.989289,0.685605,0.223163,0.527461
0.616667,4.812493,3.989153,0.684895,0.225748,0.523022
0.633333,4.811273,3.989257,0.681075,0.225732,0.517957
0.65,4.812031,3.989283,0.680628,0.22421,0.522115
0.666667,4.809634,3.989214,0.678595,0.222286,0.5206
0.683333,4.811689,3.988807,0.673797,0.221127,0.514026
0.7,4.812762,3.988157,0.665285,0.22417,0.501207
0.716667,4.813397,3.987688,0.656924,0.222455,0.493555
0.733333,4.81078,3.987043,0.651898,0.224411,0.489147
0.75,4.810924,3.986607,0.643266,0.220259,0.480415
0.766667,4.808634,3.985865,0.632587,0.218854,0.468969
0.783333,4.81409,3.984446,0.619035,0.220405,0.445358
0.8,4.812916,3.983669,0.607397,0.219062,0.436133
0.816667,4.813538,3.982395,0.592972,0.21877,0.41828
0.833333,4.809381,3.981315,0.583069,0.223632,0.405347
0.85,4.81185,3.979889,0.566183,0.22172,0.384656
0.866667,4.812138,3.978459,0.54662,0.219766,0.361365
0.883333,4.814972,3.97682,0.529396,0.220655,0.338483
0.9,4.814913,3.975043,0.511988,0.221896,0.316191
0.916667,4.809022,3.973575,0.495548,0.221902,0.299855
0.933333,4.812047,3.971862,0.473861,0.22051,0.276148
0.95,4.812646,3.970251,0.451807,0.217973,0.252504
0.966667,4.815573,3.969632,0.445169,0.221466,0.244082
0.983333,4.814123,3.970717,0.462794,0.216891,0.260515
1,4.810954,3.971543,0.473934,0.219982,0.273346
1.016667,4.810731,3.972501,0.484705,0.221569,0.286504
1.033333,4.813676,3.973036,0.490535,0.219405,0.290891
1.05,4.813965,3.973796,0.494818,0.220748,0.301862
1.066667,4.812676,3.974456,0.501556,0.218821,0.310777
1.083333,4.809633,3.975063,0.508586,0.217796,0.322362
1.1,4.811525,3.973319,0.51164,0.24207,0.297735
1.116667,4.812806,3.971499,0.511411,0.263287,0.26788
1.133333,4.814758,3.971509,0.510167,0.259772,0.269435
1.15,4.814819,3.971822,0.514536,0.261181,0.273081
1.166667,4.8105,3.971903,0.514832,0.260517,0.276953
1.183333,4.810886,3.971496,0.510725,0.26325,0.271316
1.2,4.812172,3.971252,0.503238,0.257773,0.264446
1.216667,4.814526,3.970597,0.498791,0.260497,0.254551
1.233333,4.814751,3.969976,0.492574,0.259155,0.245608
1.25,4.811788,3.969611,0.487874,0.260933,0.243305
1.266667,4.810787,3.968809,0.477834,0.261947,0.233005
1.283333,4.813018,3.967786,0.466625,0.26044,0.216557
1.3,4.814619,3.96702,0.455984,0.257865,0.204882
1.316667,4.817642,3.965878,0.439688,0.258221,0.192039
1.333333,4.813222,3.964575,0.433712,0.260501,0.176482
1.35,4.813553,3.963225,0.418905,0.260663,0.158669
1.366667,4.813866,3.961673,0.400165,0.258161,0.137463
1.383333,4.817168,3.960221,0.386089,0.260097,0.11602
1.4,4.819162,3.958692,0.365618,0.260536,0.096551
1.416667,4.815295,3.956847,0.350459,0.260948,0.073715
1.433333,4.81457,3.954908,0.333106,0.262638,0.049155
1.45,4.814809,3.954091,0.322752,0.263463,0.037435
1.466667,4.817924,3.955671,0.341062,0.259206,0.061735
1.483333,4.818604,3.956941,0.356053,0.260953,0.075145
1.5,4.817306,3.958304,0.373863,0.263472,0.098801
1.516667,4.811614,3.95966,0.388529,0.26295,0.119061
1.533333,4.813202,3.960983,0.399551,0.261546,0.135187
1.55,4.815554,3.961983,0.409026,0.260011,0.145086
1.566667,4.816587,3.962932,0.420952,0.260775,0.159871
1.583333,4.813014,3.963556,0.433934,0.261929,0.17334
1.6,4.811651,3.966355,0.444351,0.24215,0.210492
1.616667,4.810806,3.969061,0.445704,0.21965,0.246609
1.633333,4.814765,3.969444,0.452458,0.220813,0.246393
1.65,4.816518,3.969886,0.458282,0.221701,0.256941
1.666667,4.812733,3.970294,0.464178,0.223978,0.259125
1.683333,4.813434,3.970452,0.466295,0.223598,0.263688
1.7,4.813015,3.970567,0.467881,0.224604,0.26474
1.716667,4.815985,3.970955,0.464433,0.216279,0.26789
1.733333,4.815499,3.971082,0.465332,0.216484,0.265862
1.75,4.812151,3.970914,0.466508,0.217445,0.264713
1.766667,4.812974,3.970723,0.463287,0.217448,0.263396
1.783333,4.812832,3.97029,0.454503,0.216922,0.257628
1.8,4.815093,3.969648,0.448245,0.218133,0.245162
1.816667,4.812716,3.968979,0.442863,0.220972,0.2372
1.833333,4.813523,3.968147,0.43915,0.220666,0.225886
1.85,4.812917,3.96718,0.427235,0.226505,0.215079
1.866667,4.813233,3.966135,0.416772,0.226261,0.200267
1.883333,4.814753,3.965563,0.409085,0.226155,0.18807
1.9,4.815201,3.966912,0.422617,0.223507,0.208168
1.916667,4.816167,3.968759,0.440908,0.221823,0.234995
1.933333,4.811875,3.970786,0.464321,0.221782,0.263621
1.95,4.813016,3.972474,0.48391,0.222084,0.285739
1.966667,4.814062,3.974044,0.502058,0.225503,0.304062
1.983333,4.815872,3.975874,0.518576,0.221582,0.32784
2,4.811406,3.977614,0.537712,0.223122,0.352062
2.016667,4.811303,3.979083,0.558771,0.2187,0.374217
2.033333,4.809265,3.980752,0.573143,0.220286,0.39297
