time,vbus,vbat,ibus,iloa,ibat
1.566667,4.814865,3.480364,0.427503,0.277039,0.178494
1.583333,4.816923,3.481419,0.436826,0.271763,0.194699
1.6,4.819145,3.48437,0.444426,0.252169,0.234642
1.616667,4.817876,3.486929,0.45189,0.232915,0.269544
1.633333,4.814402,3.487418,0.456569,0.235568,0.27614
1.65,4.812551,3.488129,0.464139,0.232913,0.283036
1.666667,4.814739,3.488615,0.465217,0.235155,0.294545
1.683333,4.81568,3.488902,0.468754,0.234205,0.293834
1.7,4.817236,3.489073,0.468652,0.234593,0.293695
1.716667,4.813984,3.489089,0.470912,0.238757,0.295334
1.733333,4.815059,3.48942,0.471515,0.234333,0.298686
1.75,4.814104,3.488967,0.470533,0.239464,0.293289
1.766667,4.815878,3.488818,0.464324,0.235803,0.285136
1.783333,4.816677,3.488433,0.456099,0.234097,0.280711
1.8,4.816941,3.487842,0.453083,0.235261,0.275281
1.816667,4.814602,3.487066,0.450544,0.237105,0.262042
1.833333,4.814511,3.486407,0.438037,0.234725,0.253345
1.85,4.814147,3.48518,0.428971,0.234806,0.23323
1.866667,4.81568,3.484148,0.417188,0.234781,0.218522
1.883333,4.817187,3.483809,0.412426,0.235194,0.214859
1.9,4.813757,3.485207,0.425949,0.235741,0.23909
1.916667,4.813372,3.487172,0.45126,0.234646,0.262923
1.933333,4.816183,3.489413,0.463498,0.231666,0.29384
1.95,4.81712,3.491271,0.487017,0.236346,0.321095
1.966667,4.816286,3.493307,0.50613,0.235552,0.344721
1.983333,4.813969,3.495379,0.527757,0.232981,0.375035
2,4.811527,3.497382,0.544273,0.232126,0.401384
2.016667,4.813542,3.498989,0.563351,0.233178,0.422717
2.033333,4.817746,3.500881,0.575984,0.228677,0.445705
2.05,4.8158,3.502572,0.591204,0.229803,0.468562
2.066667,4.813745,3.503807,0.609186,0.230953,0.485611
2.083333,4.815476,3.504942,0.617474,0.232545,0.500011
2.1,4.815511,3.506095,0.627178,0.23255,0.514831
2.116667,4.81868,3.507077,0.635374,0.234174,0.521441
2.133333,4.811265,3.508086,0.645597,0.237968,0.533614
2.15,4.813999,3.508763,0.656346,0.238348,0.543866
2.166667,4.814922,3.509357,0.660544,0.240373,0.551432
2.183333,4.814804,3.510129,0.664911,0.238226,0.561502
2.2,4.815705,3.510714,0.668406,0.23539,0.564687
2.216667,4.818189,3.511019,0.672888,0.237783,0.569091
2.233333,4.816878,3.511213,0.676058,0.239022,0.568075
2.25,4.815282,3.511258,0.672884,0.239198,0.568148
2.266667,4.81711,3.511262,0.673051,0.237941,0.568913
2.283333,4.816317,3.511716,0.669105,0.232982,0.569113
2.3,4.816759,3.511185,0.666584,0.235154,0.55678
2.316667,4.813651,3.51091,0.662541,0.238833,0.556342
2.333333,4.814594,3.510486,0.658987,0.239858,0.548896
2.35,4.813712,3.510012,0.65091,0.238379,0.543444
2.366667,4.813641,3.50917,0.639552,0.238071,0.526132
2.383333,4.817649,3.508336,0.629641,0.237437,0.514601
2.4,4.81398,3.507516,0.622642,0.238313,0.501047
2.416667,4.814652,3.506175,0.610156,0.239215,0.481833
2.433333,4.814664,3.505145,0.600118,0.235477,0.466239
2.45,4.815489,3.503724,0.582024,0.235302,0.442154
2.466667,4.816615,3.502234,0.567723,0.238138,0.422925
2.483333,4.815986,3.500894,0.55552,0.240068,0.406485
2.5,4.812715,3.499147,0.540022,0.242061,0.382014
2.516667,4.81456,3.498049,0.525871,0.239427,0.367423
2.533333,4.816888,3.498306,0.525392,0.240164,0.368159
2.55,4.815244,3.500183,0.544998,0.238857,0.395136
2.566667,4.81779,3.501971,0.564656,0.238778,0.419846
2.583333,4.811936,3.503558,0.583254,0.242959,0.444885
2.6,4.813753,3.505282,0.598481,0.240233,0.467287
2.616667,4.816072,3.506555,0.609364,0.238897,0.4813
2.633333,4.815762,3.508371,0.625712,0.235639,0.504324
2.65,4.814089,3.509731,0.638954,0.234985,0.52556
2.666667,4.813195,3.510811,0.651889,0.236313,0.540153
2.683333,4.816797,3.509663,0.659968,0.261415,0.519067
2.7,4.813615,3.508981,0.668334,0.278061,0.510043
2.716667,4.81432,3.509791,0.674935,0.27597,0.518314
