time,vbus,vbat,ibus,iloa,ibat
1.566667,4.831247,3.593403,0.556509,0.175321,0.485283
1.583333,4.832651,3.593466,0.554607,0.175605,0.487581
1.6,4.830962,3.59876,0.55381,0.134795,0.535696
1.616667,4.82923,3.598656,0.553989,0.133265,0.533926
1.633333,4.834293,3.598679,0.551626,0.134285,0.533504
1.65,4.832235,3.598601,0.553087,0.133603,0.531223
1.666667,4.837233,3.598462,0.549289,0.136434,0.53398
1.683333,4.832418,3.598447,0.548472,0.134808,0.530827
1.7,4.830187,3.598397,0.550518,0.134233,0.532977
1.716667,4.834497,3.598097,0.543418,0.135242,0.52368
1.733333,4.837286,3.597989,0.543429,0.134234,0.526951
1.75,4.833136,3.598021,0.544143,0.135939,0.527069
1.766667,4.83191,3.597965,0.542517,0.134866,0.525204
1.783333,4.831127,3.597848,0.540348,0.134223,0.524319
1.8,4.833189,3.597663,0.541561,0.134666,0.520383
1.816667,4.831761,3.597693,0.540747,0.135785,0.522149
1.833333,4.834954,3.597505,0.539861,0.135467,0.520116
1.85,4.830475,3.597549,0.539293,0.134572,0.516845
1.866667,4.832543,3.597237,0.537331,0.1338,0.516855
1.883333,4.829886,3.597169,0.537225,0.13512,0.513586
1.9,4.836111,3.59705,0.533916,0.136434,0.514214
1.916667,4.836665,3.59683,0.535736,0.135383,0.508652
1.933333,4.834291,3.596865,0.535107,0.133277,0.507913
1.95,4.832946,3.596656,0.532458,0.132318,0.50585
1.966667,4.83307,3.596674,0.5321,0.131778,0.506693
1.983333,4.834912,3.596431,0.529018,0.137173,0.503721
2,4.834148,3.596369,0.529893,0.137481,0.50566
2.016667,4.83425,3.59624,0.526071,0.133639,0.502543
2.033333,4.831902,3.596003,0.523966,0.133779,0.49921
2.05,4.833553,3.596023,0.524417,0.134518,0.498949
2.066667,4.834833,3.595684,0.52217,0.136208,0.495616
2.083333,4.831061,3.595769,0.526351,0.132415,0.49519
2.1,4.833086,3.595551,0.520593,0.134103,0.493955
