2021-10-21 10:02:30.727175,0.99,1,4.046823,0.899245,0.12369639534583332,18.0
2021-10-21 10:02:31.732646,2.0,1,3.812892,3.499671,0.7379995161008333,18.5
2021-10-21 10:02:32.738140,3.0,1,3.806139,3.499663,1.7154701190169446,18.5
2021-10-21 10:02:33.743633,4.01,1,3.80146,3.499663,2.6929386325888887,17.25
2021-10-21 10:02:34.754215,5.02,1,3.797461,3.499615,3.6753475714494446,17.5
2021-10-21 10:02:35.759687,6.02,1,3.794114,3.499615,4.6527822640272225,19.0
2021-10-21 10:02:36.765157,7.03,1,3.791064,3.499607,5.630213895185555,18.5
2021-10-21 10:02:37.770627,8.03,1,3.788295,3.499687,6.607655581043889,17.25
2021-10-21 10:02:38.776095,9.04,1,3.785792,3.499615,7.585096439840555,17.5
2021-10-21 10:02:39.781541,10.04,1,3.783645,3.499655,8.562511443232221,18.5
2021-10-21 10:02:40.792091,11.06,1,3.781438,3.499647,9.544892642690554,17.75
2021-10-21 10:02:41.797534,12.06,1,3.779321,3.499623,10.522304729719721,17.25
2021-10-21 10:02:42.803012,13.07,1,3.777395,3.499647,11.499750840978054,19.0
2021-10-21 10:02:43.808484,14.07,1,3.7755,3.499623,12.477191119511387,19.5
2021-10-21 10:02:44.824089,15.09,1,3.773723,3.499671,13.464485283798886,17.75
2021-10-21 10:02:45.829527,16.09,1,3.772064,3.499639,14.441898095990553,18.25
2021-10-21 10:02:46.834988,17.1,1,3.770406,3.499663,15.419332149910275,19.5
2021-10-21 10:02:47.840442,18.1,1,3.768866,3.499655,16.396761633295274,18.25
2021-10-21 10:02:48.850989,19.11,1,3.76734,3.499671,17.379143284867773,17.25
2021-10-21 10:02:49.856466,20.12,1,3.765889,3.499663,18.356597361578608,17.0
2021-10-21 10:02:50.861915,21.13,1,3.764527,3.499647,19.334020867160554,18.5
2021-10-21 10:02:51.867404,22.13,1,3.76315,3.499663,20.311483257798052,19.25
2021-10-21 10:02:52.872856,23.14,1,3.761847,3.499702,21.288917360295276,18.0
2021-10-21 10:02:53.878312,24.14,1,3.760707,3.499718,22.266363031895274,17.25
2021-10-21 10:02:54.883767,25.15,1,3.759522,3.499671,23.243803402311247,18.5
2021-10-21 10:02:55.889238,26.15,1,3.758293,3.499679,24.22125388062375,17.5
2021-10-21 10:02:56.894684,27.16,1,3.757093,3.499718,25.198686618965695,20.0
2021-10-21 10:02:57.905216,28.17,1,3.755953,3.499583,26.181050179817362,19.5
2021-10-21 10:02:58.910663,29.17,1,3.754828,3.499663,27.15846280383986,19.25
2021-10-21 10:02:59.916192,30.18,1,3.753762,3.499599,28.13595737600625,19.25
2021-10-21 10:03:00.926732,31.19,1,3.752725,3.499639,29.11831987163403,18.75
2021-10-21 10:03:01.932233,32.2,1,3.751688,3.499615,30.09578610722486,20.25
2021-10-21 10:03:02.937670,33.2,1,3.750666,3.499607,31.073185658615692,17.75
2021-10-21 10:03:03.943130,34.21,1,3.749674,3.499639,32.050610920165695,19.5
2021-10-21 10:03:04.948596,35.21,1,3.748667,3.499639,33.02804648315848,20.0
2021-10-21 10:03:05.954076,36.22,1,3.74772,3.499694,34.00550333660848,18.75
2021-10-21 10:03:06.959529,37.22,1,3.746757,3.499631,34.982932825389724,18.25
2021-10-21 10:03:07.965,38.23,1,3.745839,3.499671,35.96037660056223,19.0
2021-10-21 10:03:08.975535,39.24,1,3.744906,3.499694,36.94275206032265,18.5
2021-10-21 10:03:09.980986,40.24,1,3.744136,3.499726,37.92019287121431,18.25
2021-10-21 10:03:10.991542,41.25,1,3.743277,3.499702,38.902597588154315,18.0
2021-10-21 10:03:11.996971,42.26,1,3.742374,3.499671,39.880010448712234,18.5
2021-10-21 10:03:13.002459,43.27,1,3.74147,3.499687,40.85747857047668,19.25
2021-10-21 10:03:14.007914,44.27,1,3.740626,3.499615,41.834906791644734,19.0
2021-10-21 10:03:15.013383,45.28,1,3.739841,3.499671,42.81234638819112,19.25
2021-10-21 10:03:16.018887,46.28,1,3.739056,3.499647,43.78982447795112,17.25
2021-10-21 10:03:17.029414,47.29,1,3.738286,3.499671,44.77218556414362,18.75
2021-10-21 10:03:18.034899,48.3,1,3.737531,3.499694,45.74965174706376,18.25
2021-10-21 10:03:19.040371,49.3,1,3.73682,3.499671,46.72710529224154,18.5
2021-10-21 10:03:20.045879,50.31,1,3.736095,3.499687,47.7045928566671,18.25
2021-10-21 10:03:21.051342,51.31,1,3.735354,3.499711,48.68204226101071,18.25
2021-10-21 10:03:22.056803,52.32,1,3.734643,3.499758,49.65949963603973,17.5
2021-10-21 10:03:23.062284,53.33,1,3.733933,3.499726,50.63697854879029,18.25
2021-10-21 10:03:24.067758,54.33,1,3.733281,3.499687,51.61444074139612,18.75
2021-10-21 10:03:25.073205,55.34,1,3.732674,3.499702,52.591873334713206,18.75
2021-10-21 10:03:26.078663,56.34,1,3.732023,3.499694,53.569317599069876,17.75
2021-10-21 10:03:27.084093,57.35,1,3.731385,3.499663,54.54672919747404,18.5
2021-10-21 10:03:28.089565,58.35,1,3.730734,3.499663,55.52417729634515,18.25
2021-10-21 10:03:29.095006,59.36,1,3.730127,3.499607,56.50158743913265,17.5
2021-10-21 10:03:30.100462,60.36,1,3.729446,3.499647,57.47900992938598,19.5
2021-10-21 10:03:31.105895,61.37,1,3.728839,3.499639,58.45641452950237,18.75
2021-10-21 10:03:32.121471,62.38,1,3.728246,3.499615,59.443674860100145,17.5
2021-10-21 10:03:33.126920,63.39,1,3.727639,3.499631,60.42108942835765,19.5
