,Timestamp,Voltage,Current,Power,Temperature
93,2021-09-27 19:40:16.815917,3.27,0.75,1.0,20.0
94,2021-09-27 19:40:17.831549,3.271,0.75,1.0,19.25
95,2021-09-27 19:40:18.836895,3.272,0.75,1.0,18.75
96,2021-09-27 19:40:19.842390,3.273,0.75,1.0,18.25
97,2021-09-27 19:40:20.847736,3.274,0.75,1.0,19.75
98,2021-09-27 19:40:21.853192,3.274,0.75,1.0,19.5
99,2021-09-27 19:40:22.858695,3.275,0.75,1.0,18.5
100,2021-09-27 19:40:23.864068,3.276,0.75,1.0,19.0
101,2021-09-27 19:40:24.869456,3.277,0.75,1.0,19.0
102,2021-09-27 19:40:25.874899,3.278,0.75,1.0,20.0
103,2021-09-27 19:40:26.890542,3.279,0.75,1.0,18.5
104,2021-09-27 19:40:27.896051,3.279,0.75,1.0,20.0
105,2021-09-27 19:40:28.901388,3.28,0.75,1.0,17.5
106,2021-09-27 19:40:29.916995,3.281,0.75,1.0,19.75
107,2021-09-27 19:40:30.922436,3.282,0.75,1.0,20.5
108,2021-09-27 19:40:31.927840,3.283,0.75,1.0,18.0
109,2021-09-27 19:40:32.943425,3.283,0.75,1.0,19.75
110,2021-09-27 19:40:33.948926,3.284,0.75,1.0,20.25
111,2021-09-27 19:40:34.954420,3.285,0.75,1.0,19.75
112,2021-09-27 19:40:35.964803,3.286,0.75,1.0,19.25
113,2021-09-27 19:40:36.970360,3.287,0.75,1.0,18.75
114,2021-09-27 19:40:37.975791,3.288,0.75,1.0,19.5
115,2021-09-27 19:40:38.981205,3.288,0.75,1.0,18.5
116,2021-09-27 19:40:39.991716,3.289,0.75,1.0,20.0
117,2021-09-27 19:40:41.002260,3.29,0.75,1.0,19.25
118,2021-09-27 19:40:42.007704,3.291,0.75,1.0,19.5
119,2021-09-27 19:40:43.018172,3.291,0.75,1.0,18.75
120,2021-09-27 19:40:44.023574,3.292,0.75,1.0,19.0
121,2021-09-27 19:40:45.039153,3.293,0.75,1.0,19.5
122,2021-09-27 19:40:46.049603,3.294,0.75,1.0,18.5
123,2021-09-27 19:40:47.060240,3.295,0.75,1.0,16.5
124,2021-09-27 19:40:48.075819,3.295,0.75,1.0,19.25
125,2021-09-27 19:40:49.091364,3.296,0.75,1.0,19.0
126,2021-09-27 19:40:50.096777,3.297,0.75,1.0,19.5
127,2021-09-27 19:40:51.102362,3.298,0.75,1.0,18.0
128,2021-09-27 19:40:52.107673,3.298,0.75,1.0,19.75
129,2021-09-27 19:40:53.113232,3.299,0.75,1.0,19.25
130,2021-09-27 19:40:54.123739,3.299,0.75,1.0,18.75
131,2021-09-27 19:40:55.139329,3.3,0.75,1.0,20.25
132,2021-09-27 19:40:56.154773,3.301,0.75,1.0,19.0
133,2021-09-27 19:40:57.160260,3.302,0.75,1.0,19.75
134,2021-09-27 19:40:58.165761,3.303,0.75,1.0,20.0
135,2021-09-27 19:40:59.171157,3.303,0.75,1.0,18.75
136,2021-09-27 19:41:00.186755,3.304,0.75,1.0,19.25
137,2021-09-27 19:41:01.192195,3.304,0.75,1.0,18.0
138,2021-09-27 19:41:02.197624,3.306,0.75,1.0,19.25
139,2021-09-27 19:41:03.203075,3.306,0.75,1.0,18.5
140,2021-09-27 19:41:04.208595,3.307,0.75,1.0,19.0
141,2021-09-27 19:41:05.214101,3.307,0.75,1.0,19.75
142,2021-09-27 19:41:06.224580,3.308,0.75,1.0,17.75
143,2021-09-27 19:41:07.229993,3.309,0.75,1.0,19.25
144,2021-09-27 19:41:08.235306,3.309,0.75,1.0,19.25
145,2021-09-27 19:41:09.240796,3.311,0.75,1.0,20.0
146,2021-09-27 19:41:10.246217,3.311,0.75,1.0,18.0
147,2021-09-27 19:41:11.251707,3.312,0.75,1.0,19.75
148,2021-09-27 19:41:12.257062,3.312,0.75,1.0,18.75
149,2021-09-27 19:41:13.262447,3.313,0.75,1.0,18.75
150,2021-09-27 19:41:14.278104,3.314,0.75,1.0,19.0
151,2021-09-27 19:41:15.283535,3.314,0.75,1.0,19.0
152,2021-09-27 19:41:16.288859,3.315,0.75,1.0,18.25
153,2021-09-27 19:41:17.294431,3.315,0.75,1.0,19.0
154,2021-09-27 19:41:18.299730,3.316,0.75,1.0,20.5
155,2021-09-27 19:41:19.315321,3.317,0.75,1.0,18.75
156,2021-09-27 19:41:20.320819,3.317,0.75,1.0,19.5
157,2021-09-27 19:41:21.336305,3.318,0.75,1.0,20.0
158,2021-09-27 19:41:22.351849,3.319,0.75,1.0,18.5
159,2021-09-27 19:41:23.357330,3.32,0.75,1.0,20.5
160,2021-09-27 19:41:24.362682,3.32,0.75,1.0,18.0
161,2021-09-27 19:41:25.373236,3.321,0.75,1.0,19.5
162,2021-09-27 19:41:26.378686,3.322,0.75,1.0,20.0
163,2021-09-27 19:41:27.384185,3.322,0.75,1.0,20.25
164,2021-09-27 19:41:28.389617,3.323,0.75,1.0,20.0
165,2021-09-27 19:41:29.405110,3.323,0.75,1.0,19.0
166,2021-09-27 19:41:30.410636,3.324,0.75,1.0,19.5
167,2021-09-27 19:41:31.416025,3.325,0.75,1.0,18.75
168,2021-09-27 19:41:32.421462,3.325,0.75,1.0,19.5
169,2021-09-27 19:41:33.426997,3.326,0.75,1.0,19.5
170,2021-09-27 19:41:34.432419,3.326,0.75,1.0,20.0
171,2021-09-27 19:41:35.437840,3.327,0.75,1.0,19.5
172,2021-09-27 19:41:36.443293,3.328,0.75,1.0,20.5
173,2021-09-27 19:41:37.448775,3.328,0.75,1.0,20.0
174,2021-09-27 19:41:38.454243,3.329,0.75,1.0,18.0
175,2021-09-27 19:41:39.469715,3.33,0.75,1.0,20.5
176,2021-09-27 19:41:40.475086,3.33,0.75,1.0,18.75
177,2021-09-27 19:41:41.490632,3.331,0.75,1.0,20.0
178,2021-09-27 19:41:42.506199,3.331,0.75,1.0,20.25
179,2021-09-27 19:41:43.521850,3.332,0.75,1.0,19.5
180,2021-09-27 19:41:44.527293,3.333,0.75,1.0,20.0
181,2021-09-27 19:41:45.532624,3.333,0.75,1.0,20.25
182,2021-09-27 19:41:46.538257,3.334,0.75,1.0,19.5
183,2021-09-27 19:41:47.543560,3.334,0.75,1.0,19.25
184,2021-09-27 19:41:48.554150,3.335,0.75,1.0,19.5
185,2021-09-27 19:41:49.569603,3.336,0.75,1.0,20.0
186,2021-09-27 19:41:50.580175,3.336,0.75,1.0,17.75
187,2021-09-27 19:41:51.585583,3.337,0.75,1.0,18.75
188,2021-09-27 19:41:52.601240,3.337,0.75,1.0,20.25
189,2021-09-27 19:41:53.611768,3.338,0.75,1.0,19.75
190,2021-09-27 19:41:54.627280,3.338,0.75,1.0,20.75
191,2021-09-27 19:41:55.632695,3.339,0.75,1.0,18.75
192,2021-09-27 19:41:56.638129,3.339,0.75,1.0,19.75
193,2021-09-27 19:41:57.643528,3.34,0.75,1.0,19.75
194,2021-09-27 19:41:58.659161,3.341,0.75,1.0,19.0
195,2021-09-27 19:41:59.664519,3.341,0.75,1.0,20.5
196,2021-09-27 19:42:00.670067,3.342,0.75,1.0,18.75
197,2021-09-27 19:42:01.675433,3.342,0.75,1.0,20.5
198,2021-09-27 19:42:02.680872,3.343,0.75,1.0,18.75
199,2021-09-27 19:42:03.686251,3.344,0.75,1.0,19.75
200,2021-09-27 19:42:04.691594,3.344,0.75,1.0,20.0
201,2021-09-27 19:42:05.697015,3.344,0.75,1.0,20.0
202,2021-09-27 19:42:06.702528,3.345,0.75,1.0,19.5
203,2021-09-27 19:42:07.713016,3.346,0.75,1.0,18.75
204,2021-09-27 19:42:08.723525,3.346,0.75,1.0,19.75
205,2021-09-27 19:42:09.728921,3.347,0.75,1.0,18.75
206,2021-09-27 19:42:10.734423,3.347,0.75,1.0,20.75
207,2021-09-27 19:42:11.749952,3.348,0.75,1.0,19.0
208,2021-09-27 19:42:12.755344,3.348,0.75,1.0,18.75
209,2021-09-27 19:42:13.760714,3.349,0.75,1.0,19.0
210,2021-09-27 19:42:14.766258,3.349,0.75,1.0,19.25
211,2021-09-27 19:42:15.771637,3.35,0.75,1.0,20.75
212,2021-09-27 19:42:16.777067,3.35,0.75,1.0,20.25
213,2021-09-27 19:42:17.782583,3.351,0.75,1.0,20.5
214,2021-09-27 19:42:18.787945,3.352,0.75,1.0,20.0
215,2021-09-27 19:42:19.793457,3.352,0.75,1.0,20.5
216,2021-09-27 19:42:20.798832,3.352,0.75,1.0,19.5
217,2021-09-27 19:42:21.809403,3.353,0.75,1.0,19.5
218,2021-09-27 19:42:22.819805,3.353,0.75,1.0,20.5
219,2021-09-27 19:42:23.835419,3.354,0.75,1.0,19.0
220,2021-09-27 19:42:24.840823,3.355,0.75,1.0,20.25
221,2021-09-27 19:42:25.846306,3.355,0.75,1.0,18.25
222,2021-09-27 19:42:26.851713,3.355,0.75,1.0,19.0
223,2021-09-27 19:42:27.867316,3.357,0.75,1.0,20.0
224,2021-09-27 19:42:28.872643,3.357,0.75,1.0,20.75
225,2021-09-27 19:42:29.878221,3.357,0.75,1.0,20.25
226,2021-09-27 19:42:30.883536,3.358,0.75,1.0,17.0
227,2021-09-27 19:42:31.894064,3.358,0.75,1.0,19.25
228,2021-09-27 19:42:32.899530,3.358,0.75,1.0,17.75
229,2021-09-27 19:42:33.904927,3.359,0.75,1.0,20.75
230,2021-09-27 19:42:34.910370,3.36,0.75,1.0,19.0
231,2021-09-27 19:42:35.915757,3.36,0.75,1.0,20.5
232,2021-09-27 19:42:36.921207,3.361,0.75,1.0,20.25
233,2021-09-27 19:42:37.926763,3.361,0.75,1.0,20.0
234,2021-09-27 19:42:38.932090,3.361,0.75,1.0,20.0
235,2021-09-27 19:42:39.937631,3.362,0.75,1.0,19.0
236,2021-09-27 19:42:40.952995,3.363,0.75,1.0,20.5
237,2021-09-27 19:42:41.958478,3.363,0.75,1.0,19.0
238,2021-09-27 19:42:42.963869,3.364,0.75,1.0,20.25
239,2021-09-27 19:42:43.974412,3.364,0.75,1.0,19.0
240,2021-09-27 19:42:44.979893,3.365,0.75,1.0,20.25
241,2021-09-27 19:42:45.985296,3.365,0.75,1.0,19.25
242,2021-09-27 19:42:46.990801,3.366,0.75,1.0,11.75
243,2021-09-27 19:42:48.006243,3.366,0.75,1.0,21.75
244,2021-09-27 19:42:49.021795,3.367,0.75,1.0,19.25
245,2021-09-27 19:42:50.027282,3.367,0.75,1.0,19.25
246,2021-09-27 19:42:51.032660,3.368,0.75,1.0,18.75
247,2021-09-27 19:42:52.038112,3.368,0.75,1.0,19.0
248,2021-09-27 19:42:53.043550,3.368,0.75,1.0,20.25
249,2021-09-27 19:42:54.049006,3.369,0.75,1.0,21.25
250,2021-09-27 19:42:55.054451,3.369,0.75,1.0,20.5
251,2021-09-27 19:42:56.064898,3.37,0.75,1.0,17.25
252,2021-09-27 19:42:57.070368,3.371,0.75,1.0,20.25
253,2021-09-27 19:42:58.085927,3.371,0.75,1.0,17.0
254,2021-09-27 19:42:59.091345,3.371,0.75,1.0,19.5
255,2021-09-27 19:43:00.096751,3.372,0.75,1.0,20.0
256,2021-09-27 19:43:01.102240,3.373,0.75,1.0,18.5
257,2021-09-27 19:43:02.107724,3.373,0.75,1.0,20.5
258,2021-09-27 19:43:03.113098,3.373,0.75,1.0,18.75
259,2021-09-27 19:43:04.118626,3.374,0.75,1.0,19.5
260,2021-09-27 19:43:05.123978,3.374,0.75,1.0,17.5
261,2021-09-27 19:43:06.129389,3.374,0.75,1.0,20.5
262,2021-09-27 19:43:07.134833,3.375,0.75,1.0,18.75
263,2021-09-27 19:43:08.140301,3.376,0.75,1.0,20.0
264,2021-09-27 19:43:09.155852,3.376,0.75,1.0,19.75
265,2021-09-27 19:43:10.161331,3.376,0.75,1.0,19.75
266,2021-09-27 19:43:11.166670,3.377,0.75,1.0,19.25
267,2021-09-27 19:43:12.172194,3.377,0.75,1.0,18.0
268,2021-09-27 19:43:13.177618,3.378,0.75,1.0,18.75
269,2021-09-27 19:43:14.183080,3.378,0.75,1.0,17.75
270,2021-09-27 19:43:15.193523,3.379,0.75,1.0,20.25
271,2021-09-27 19:43:16.198926,3.379,0.75,1.0,18.5
272,2021-09-27 19:43:17.204419,3.379,0.75,1.0,20.25
273,2021-09-27 19:43:18.209911,3.38,0.75,1.0,20.0
274,2021-09-27 19:43:19.215373,3.381,0.75,1.0,19.25
275,2021-09-27 19:43:20.220775,3.381,0.75,1.0,19.5
276,2021-09-27 19:43:21.226166,3.381,0.75,1.0,18.5
277,2021-09-27 19:43:22.231720,3.382,0.75,1.0,19.5
278,2021-09-27 19:43:23.247114,3.382,0.75,1.0,19.0
279,2021-09-27 19:43:24.262757,3.383,0.75,1.0,20.5
280,2021-09-27 19:43:25.268284,3.383,0.75,1.0,19.0
281,2021-09-27 19:43:26.273617,3.384,0.75,1.0,18.5
282,2021-09-27 19:43:27.289090,3.384,0.75,1.0,19.75
283,2021-09-27 19:43:28.294620,3.384,0.75,1.0,17.75
284,2021-09-27 19:43:29.300131,3.385,0.75,1.0,19.5
285,2021-09-27 19:43:30.305628,3.385,0.75,1.0,18.25
286,2021-09-27 19:43:31.310919,3.385,0.75,1.0,19.25
287,2021-09-27 19:43:32.316384,3.386,0.75,1.0,17.75
288,2021-09-27 19:43:33.321854,3.387,0.75,1.0,18.5
289,2021-09-27 19:43:34.337319,3.387,0.75,1.0,18.75
290,2021-09-27 19:43:35.342890,3.387,0.75,1.0,17.75
291,2021-09-27 19:43:36.348131,3.388,0.75,1.0,19.5
292,2021-09-27 19:43:37.353616,3.388,0.75,1.0,16.25
293,2021-09-27 19:43:38.369193,3.388,0.75,1.0,19.25
294,2021-09-27 19:43:39.374604,3.389,0.75,1.0,19.0
295,2021-09-27 19:43:40.380011,3.39,0.75,1.0,18.75
296,2021-09-27 19:43:41.385445,3.39,0.75,1.0,19.5
297,2021-09-27 19:43:42.390882,3.39,0.75,1.0,19.25
298,2021-09-27 19:43:43.396310,3.391,0.75,1.0,19.25
299,2021-09-27 19:43:44.401813,3.391,0.75,1.0,18.0
300,2021-09-27 19:43:45.407225,3.392,0.75,1.0,19.5
301,2021-09-27 19:43:46.412617,3.392,0.75,1.0,17.5
